Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,BRISK,FREAK,254,0,274.129,30.442,0, 304.571
1,BRISK,FREAK,274,154,217.139,29.3684,0.430606, 246.938
2,BRISK,FREAK,276,173,216.168,28.4296,0.391498, 244.989
3,BRISK,FREAK,275,153,218.895,28.6905,0.467264, 248.053
4,BRISK,FREAK,293,168,222.021,29.3509,0.45201, 251.824
5,BRISK,FREAK,275,158,219.563,28.699,0.432095, 248.694
6,BRISK,FREAK,289,181,220.451,27.7631,0.412022, 248.626
7,BRISK,FREAK,268,169,216.865,28.1953,0.379973, 245.44
8,BRISK,FREAK,260,175,217.12,28.0992,0.346414, 245.566
9,BRISK,FREAK,250,165,215.462,28.2714,0.326836, 244.06
