Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,FAST,FREAK,119,0,0.762142,46.6095,0, 47.3716
1,FAST,FREAK,115,78,0.675163,53.1145,3.95738, 57.747
2,FAST,FREAK,123,81,0.799219,29.5113,0.17383, 30.4844
3,FAST,FREAK,121,77,0.71681,30.901,0.191058, 31.8089
4,FAST,FREAK,118,82,0.732861,28.9709,0.191416, 29.8951
5,FAST,FREAK,125,70,0.774146,29.696,0.173963, 30.6441
6,FAST,FREAK,111,83,0.709276,27.7866,0.184395, 28.6802
7,FAST,FREAK,114,75,0.731001,29.3281,0.17435, 30.2335
8,FAST,FREAK,117,79,0.698292,27.7904,0.178527, 28.6672
9,FAST,FREAK,106,88,0.689897,28.6379,0.185225, 29.513
