Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,HARRIS,SIFT,50,0,17.2987,56.9769,0, 74.2755
1,HARRIS,SIFT,54,37,20.077,37.773,0.170368, 58.0203
2,HARRIS,SIFT,53,31,8.7592,29.4588,0.151971, 38.37
3,HARRIS,SIFT,55,31,8.58594,28.6633,0.146229, 37.3954
4,HARRIS,SIFT,56,32,8.30953,29.9355,0.14111, 38.3862
5,HARRIS,SIFT,58,32,9.24165,28.4377,0.220512, 37.8998
6,HARRIS,SIFT,57,36,8.56345,28.9462,0.151556, 37.6612
7,HARRIS,SIFT,61,36,9.33194,29.4244,0.332944, 39.0893
8,HARRIS,SIFT,60,38,8.47056,28.3012,0.156867, 36.9286
9,HARRIS,SIFT,57,34,9.13859,27.3807,0.133229, 36.6525
