Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,ORB,FREAK,91,0,10.0683,53.8287,0, 63.897
1,ORB,FREAK,102,41,14.9802,44.2911,0.221489, 59.4928
2,ORB,FREAK,106,36,5.63903,27.8684,0.126826, 33.6343
3,ORB,FREAK,113,44,5.69815,28.4582,0.160623, 34.3169
4,ORB,FREAK,109,47,5.92899,28.0193,0.129911, 34.0782
5,ORB,FREAK,124,44,5.94145,28.7939,0.132045, 34.8674
6,ORB,FREAK,129,51,5.53617,28.2145,0.158127, 33.9088
7,ORB,FREAK,127,52,5.73958,28.9754,0.142753, 34.8578
8,ORB,FREAK,124,47,5.47205,28.1373,0.17305, 33.7824
9,ORB,FREAK,125,54,5.93925,28.5607,0.141512, 34.6415
