Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,BRISK,127,0,32.4548,5.5921,0, 38.0469
1,SHI-TOMASI,BRISK,120,97,10.8714,1.10104,1.33039, 13.3029
2,SHI-TOMASI,BRISK,123,88,9.00774,1.12305,0.230361, 10.3612
3,SHI-TOMASI,BRISK,120,80,8.70968,1.10022,0.184013, 9.99391
4,SHI-TOMASI,BRISK,120,90,8.70761,1.34158,0.189455, 10.2386
5,SHI-TOMASI,BRISK,115,82,8.35853,1.06517,0.216664, 9.64037
6,SHI-TOMASI,BRISK,114,79,9.0096,1.33289,0.208765, 10.5513
7,SHI-TOMASI,BRISK,125,86,11.6899,1.40771,0.240518, 13.3381
8,SHI-TOMASI,BRISK,112,86,10.2495,1.04948,0.21347, 11.5125
9,SHI-TOMASI,BRISK,113,83,8.6552,1.06235,0.168131, 9.88569
