Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SIFT,SIFT,137,0,141.323,28.8301,0, 170.153
1,SIFT,SIFT,131,58,77.1336,30.1414,0.410914, 107.686
2,SIFT,SIFT,121,61,76.8792,33.0794,0.335743, 110.294
3,SIFT,SIFT,135,52,78.5016,34.1523,0.295827, 112.95
4,SIFT,SIFT,134,63,77.6059,35.4747,0.298844, 113.379
5,SIFT,SIFT,139,51,79.8321,35.9923,0.3706, 116.195
6,SIFT,SIFT,136,51,80.1065,33.6171,0.368954, 114.093
7,SIFT,SIFT,147,48,81.6557,35.823,0.396274, 117.875
8,SIFT,SIFT,156,53,80.2963,34.9228,0.409815, 115.629
9,SIFT,SIFT,135,65,81.5462,33.8121,0.364407, 115.723
