Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,BRISK,BRIEF,254,0,269.836,2.08408,0, 271.92
1,BRISK,BRIEF,274,172,223.092,1.4905,0.479401, 225.062
2,BRISK,BRIEF,276,195,230.768,1.56167,0.444412, 232.774
3,BRISK,BRIEF,275,175,221.022,1.55721,0.458885, 223.038
4,BRISK,BRIEF,293,177,218.855,1.62108,0.502179, 220.979
5,BRISK,BRIEF,275,185,219.21,1.52618,0.459416, 221.195
6,BRISK,BRIEF,289,185,215.907,1.54761,0.493572, 217.948
7,BRISK,BRIEF,268,208,220.049,1.44004,0.493343, 221.983
8,BRISK,BRIEF,260,189,217.081,1.5869,0.404641, 219.073
9,BRISK,BRIEF,250,181,224.688,1.40947,0.413654, 226.512
