Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,FAST,BRIEF,119,0,0.906605,3.5143,0, 4.4209
1,FAST,BRIEF,115,97,0.801193,2.0528,0.207459, 3.06145
2,FAST,BRIEF,123,100,0.8389,1.35271,2.03672, 4.22833
3,FAST,BRIEF,121,104,0.809879,1.49845,2.3266, 4.63493
4,FAST,BRIEF,118,103,0.770858,1.64117,2.0721, 4.48413
5,FAST,BRIEF,125,93,0.757934,1.34487,3.97675, 6.07955
6,FAST,BRIEF,111,106,0.749058,1.31544,2.31608, 4.38057
7,FAST,BRIEF,114,96,0.776836,1.54797,2.08024, 4.40505
8,FAST,BRIEF,117,97,0.751643,1.08506,0.12593, 1.96264
9,FAST,BRIEF,106,104,0.742885,1.32383,0.1371, 2.20381
