Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,FAST,SIFT,119,0,0.893022,54.8738,0, 55.7668
1,FAST,SIFT,115,52,0.851902,54.9832,0.396421, 56.2315
2,FAST,SIFT,123,62,0.758869,29.2,0.32506, 30.284
3,FAST,SIFT,121,56,0.741558,30.0512,0.325247, 31.118
4,FAST,SIFT,118,63,0.714766,29.0172,0.409289, 30.1413
5,FAST,SIFT,125,45,0.738443,29.7436,0.402971, 30.885
6,FAST,SIFT,111,64,0.740986,28.2949,0.326198, 29.362
7,FAST,SIFT,114,63,0.717995,29.9443,0.367493, 31.0298
8,FAST,SIFT,117,56,0.732876,33.2993,0.360375, 34.3926
9,FAST,SIFT,106,73,0.902344,31.6413,0.324576, 32.8682
