Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,HARRIS,BRISK,50,0,17.7051,1.02726,0, 18.7323
1,HARRIS,BRISK,54,43,10.2861,0.682176,0.168275, 11.1366
2,HARRIS,BRISK,53,39,9.37378,0.645471,0.219681, 10.2389
3,HARRIS,BRISK,55,45,8.72205,0.940363,0.115736, 9.77815
4,HARRIS,BRISK,56,44,10.6307,0.951378,0.099395, 11.6814
5,HARRIS,BRISK,58,37,10.4758,0.699725,0.135615, 11.3112
6,HARRIS,BRISK,57,41,8.32218,0.675107,0.157128, 9.15441
7,HARRIS,BRISK,61,44,8.46825,0.701414,0.136047, 9.30571
8,HARRIS,BRISK,60,52,8.16878,0.678356,0.143523, 8.99066
9,HARRIS,BRISK,57,48,8.60065,0.950609,0.104828, 9.65608
