Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,ORB,BRIEF,91,0,10.6309,1.87558,0, 12.5065
1,ORB,BRIEF,102,48,13.6016,1.29959,2.02446, 16.9256
2,ORB,BRIEF,106,48,14.2464,1.22292,1.63661, 17.1059
3,ORB,BRIEF,113,56,13.9828,1.2859,1.9908, 17.2595
4,ORB,BRIEF,109,58,14.3364,1.25067,4.15272, 19.7398
5,ORB,BRIEF,124,60,6.84345,0.984395,0.196148, 8.024
6,ORB,BRIEF,129,73,6.63221,0.783746,1.46806, 8.88401
7,ORB,BRIEF,127,67,6.03794,0.892523,0.227544, 7.158
8,ORB,BRIEF,124,79,6.14989,1.10171,0.155359, 7.40696
9,ORB,BRIEF,125,60,5.71318,0.801978,0.193075, 6.70824
