Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,ORB,SIFT,91,0,10.5458,59.3299,0, 69.8757
1,ORB,SIFT,102,38,21.1394,39.3874,1.57409, 62.1009
2,ORB,SIFT,106,33,5.66852,31.7269,0.152834, 37.5482
3,ORB,SIFT,113,37,6.876,29.832,0.17915, 36.8871
4,ORB,SIFT,109,40,5.79954,28.9588,0.288712, 35.0471
5,ORB,SIFT,124,33,6.37651,31.6308,0.167587, 38.1749
6,ORB,SIFT,129,40,5.75935,27.9794,0.180947, 33.9197
7,ORB,SIFT,127,41,5.71864,28.2993,0.295288, 34.3132
8,ORB,SIFT,124,40,5.66654,28.406,0.227786, 34.3003
9,ORB,SIFT,125,43,5.87721,29.8419,0.173167, 35.8923
